,id,comment,sentiment
46,UgwByH9CYaah5iQjqZl4AaABAg,10:00 Sounds familiar...,Positive
47,UgxVrpI4fbjfXMrAkxB4AaABAg,"$10,000",Neutral
48,UgyH77kEVLRVO4qhRoR4AaABAg,23:44 flamingo standing helpless,Neutral
49,Ugy0Q2ZUxI-fpHvGh0B4AaABAg,WOW! THIS VID IS GONNA GET 465M VIEWS!,Positive
50,Ugz6zQsqLojKnEunROB4AaABAg,Hello❤❤❤❤❤❤,Neutral
51,Ugz07yiGENUuvAYAepp4AaABAg.9sG0YpQY8OQ9sG0cmSWg3G,Your so cool mr beast,Positive
52,UgxYIzjq5wC7GXHWl9B4AaABAg,HOW DID THEY GET HOME!,Neutral
53,UgwX5DMlIPxr3tL0iHp4AaABAg,Aku minta 10.000 dolar aku bisa ambil lalo rumah ku dekat,Neutral
54,UgxRn73Cbw_6Xy-g5Ph4AaABAg,👍👍👍👍👍👍👍👍👍👍👍💯🟥⚪🟥,Neutral
55,Ugyog_lSPmnUKJtMeU14AaABAg,456 million views 😱😱,Neutral
56,Ugxqe7swzSmZKvBfsU14AaABAg.9sFmat06EXf9sFvC8K3AdN,Now it's 460,Neutral
57,Ugxqe7swzSmZKvBfsU14AaABAg.9sFmat06EXf9sFmpzhE-yT,A 0:14,Neutral
58,Ugzz8uiPhh5Wjr2VXQ14AaABAg,461 million views hahahaha You Are Amazing!,Positive
59,UgwY5PhU8fOKM1lwrmx4AaABAg,330 sat early too tho no cap,Positive
60,Ugx5Ew5qxfX6VHZTQ7F4AaABAg,I’m a dog,Neutral
61,UgxJ5dOzlxjFmxISyXd4AaABAg,🇲🇾🇲🇾🇲🇾🇲🇾❤️❤️❤️,Neutral
62,Ugy_H7e1w5_jAa6eQYF4AaABAg.9sFUPm4_Dkp9sFZ7DMyevG,"ミスタービーストは25歳
1998/5/7生まれ",Neutral
63,UgyThj2YuguETmwjjfh4AaABAg,Has la coca más grande del mundo saludos de México,Neutral
64,Ugzu8tqqZ1zMxdUGhVx4AaABAg,mauu ikutttttt jugaa bisa ga ?,Neutral
65,UgywDtDxBHuvSW6JEKV4AaABAg.9sFLMLrY7NN9sFQs0oJAuw,👾,Neutral
66,UgxBq6ZyBXMWf1Lt0YZ4AaABAg,上手だね,Neutral
67,UgwjAG6iw2O8o43Kj3d4AaABAg,btw a yoituber called cammillara,Neutral
68,UgwrjQc-X5f2CGlgzQB4AaABAg,or get 10k?,Neutral
69,UgzNBMmX-ShQp47zDkd4AaABAg,456million views! Wow,Positive
70,Ugw07PFke3VIMPuRnNN4AaABAg,@nightfoxx should of won,Neutral
71,UgyQwzig_uaRSVQU-zl4AaABAg,067 is bound to win. Yay plot armor🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉 🎉,Positive
72,Ugy1F3a_WO5q9p3X0eJ4AaABAg.9sF0hs2s_Ny9sF0q5Dojj6,"Yellow in my opinion,because,IDK!",Neutral
73,Ugyr3IyVDMUBjj0EzXp4AaABAg,bro how did 121 survive in the 1st game,Negative
74,Ugw02sWCtPvUMWf4cPN4AaABAg,Всё супер. Мистер битс,Neutral
75,UgyGgcdXS3vVLNIT7Z54AaABAg.9sEvS_B8T9C9sF4VhXs3NW,Yes,Neutral
76,Ugy6bHSHdWjO8k0DbHR4AaABAg,How this was realistically made deserves more,Positive
77,Ugwww1XTW5Vr5sZhiah4AaABAg,😷😷😍😍💏AL ANIS,Neutral
78,Ugw1k55pXBIW3vdjua14AaABAg,😢😢😢😡😡😇😇😇AL ANÍS,Neutral
79,UgzPWS4o2QKIcCqDlQp4AaABAg,wow. you just recreated squid game with less than a half of the original budget and made it more entertaining than the original movie. congratz! 😁📺,Positive
80,UgzpSkxt0texw6Q52Bx4AaABAg,Ablas berdad ??,Neutral
81,UgzaMTDwPREoLC2psyZ4AaABAg,Eu sou português mas eu estou no mesmo país que você,Neutral
82,UgyR_qpfgQjFEGn0hkt4AaABAg,😂🎉,Neutral
83,UgyUGOK8agj6eKMhrKl4AaABAg,9:41,Neutral
84,UgyTLVzGfCe5zHzW1JJ4AaABAg,Night fox!!!!,Neutral
85,UgzYddMUqS0YXQtjn2p4AaABAg,Eu ameei o cenário bem igual a seri o da Bond foi inmosonabi,Neutral
86,UgwLRWCi5qb6BwRGICN4AaABAg,BEAST IS GOD,Neutral
87,UgzHkYzBh8SFAUMOull4AaABAg,Shout out to #10 on the Sky Bridge. He's a man of the people.,Neutral
88,Ugyk8deRm5Gi2VI9v2R4AaABAg,Abi Abiye ben sana abone ol dum,Neutral
89,UgyfxG7TA2spCE4CiPJ4AaABAg,Abi ben türküm 😂,Neutral
90,UgyvO3QpeaE7SEROtoJ4AaABAg,Abi bu oyun çok zor 😢,Neutral
91,UgwCi7xrk6Pkiotak9J4AaABAg,Ich spiele bloß das oder wie heißt das immer,Neutral
92,UgwleHzBEzDu7bLJQCN4AaABAg,Truly despised 368 .! He was the villain in this movie,Neutral
93,Ugz4jOQ_LTD_6sddMbV4AaABAg,Most humble guy award goes to Jimmy 🎉❤,Positive
94,Ugwr1zxHgXEtJYb7qQJ4AaABAg,Shrek,Neutral
95,Ugxz2vmZkjbydOVBFTh4AaABAg,Мистер бист вы поймёшь по-русски я знаю дружки,Neutral
96,UgxemWpLgXOfMMR6bUx4AaABAg,หน้าจะมีที่ประเทศไทยด้วย,Neutral
97,UgwPnegcJ_1aOXRxGqB4AaABAg,079 cheated,Neutral
98,Ugyi-hcL4VbCLjfwzpl4AaABAg,Yuhuuu,Neutral
99,Ugygz4WsmsFyxvYCVBh4AaABAg,👍,Neutral
100,UgzjKNfA2qOCfDNwqbh4AaABAg,j ai bralws stars,Neutral
101,UgzyX0TjWutUJPNr3iB4AaABAg,In marvels was that blood,Neutral
102,UgwmJPPYtJ4QeTKKuKl4AaABAg,18:46 Jason's voice from far Edge 3,Positive
103,UgyvBYJ2-ZOetdAN5sp4AaABAg,Why'd you eliminate that beauty?,Neutral
104,UgwwFOu9_enRS1aq2UF4AaABAg,What's the @ of 067?,Neutral
105,UgzEmXAQ8owTbpSHuRd4AaABAg,23:55,Neutral
